lat,lon,year,name
39.35331,-121.08345,2022,Nevada - COLUMBIA HILL 1101 - Equipment
39.25432,-121.17462,2022,Nevada - NARROWS 2102 - Equipment
35.86294,-120.69806,2022,San Luis Obispo - SAN MIGUEL 1106 - 3rd Party
39.05659,-121.36023,2022,Yuba - WHEATLAND 1105 - Unknown
38.92714,-121.16296,2022,Placer - WISE 1102 - Unknown
37.91116,-122.55011,2022,Marin - ALTO 1124 - Unknown
37.15033,-121.62781,2022,Santa Clara - MORGAN HILL 2104 - Unknown
37.89144,-122.55864,2022,Marin - ALTO 1125 - Unknown
37.50948,-119.88494,2022,Mariposa - MARIPOSA 2101 - Unknown
37.50948,-119.88494,2022,Mariposa - MARIPOSA 2101 - Unknown
40.55829,-122.23532,2022,Shasta - DESCHUTES 1104 - Equipment
38.04016,-120.25467,2022,Tuolumne - MIWUK 1702 - Equipment
38.79536,-122.56201,2022,Lake - MIDDLETOWN 1102 - Equipment
38.70958,-123.00093,2022,Sonoma - GEYSERVILLE 1101 - Unknown
38.61385,-122.90611,2022,Sonoma - FITCH MOUNTAIN 1113 - Unknown
37.04218,-121.53599,2022,Santa Clara - LLAGAS 2101 - Equipment
38.36189,-120.68598,2022,Amador - ELECTRA 1101 - Unknown
39.44231,-121.52461,2022,Butte - WYANDOTTE 1109 - Unknown
36.39978,-121.35906,2022,Monterey - SOLEDAD 2102 - Animal
38.30566,-122.4718,2022,Sonoma - SONOMA 1102 - Unknown
37.20067,-121.83798,2022,Santa Clara - HICKS 2101 - Unknown
38.57212,-122.5563,2022,Napa - CALISTOGA 1102 - Company Initiated
37.13756,-121.72382,2022,Santa Clara - MORGAN HILL 2111 - Equipment
38.61385,-122.90611,2022,Sonoma - FITCH MOUNTAIN 1113 - Vegetation
40.64915,-121.92832,2022,Shasta - WHITMORE 1101 - Company Initiated
38.37264,-122.34751,2022,Napa - PUEBLO 2104 - Company Initiated
37.20067,-121.83798,2022,Santa Clara - HICKS 2101 - Unknown
38.37534,-120.91677,2022,Amador - CLAY 1101 - Equipment
40.43431,-122.21642,2022,Shasta - PANORAMA 1102 - Unknown
38.70958,-123.00093,2022,Sonoma - GEYSERVILLE 1101 - Unknown
38.61385,-122.90611,2022,Sonoma - FITCH MOUNTAIN 1113 - Vegetation
38.57212,-122.5563,2022,Napa - CALISTOGA 1102 - Company Initiated
