lat,lon,year,date,end_date,name,county,circuit,cause,outage_type,division,customer_minutes,restoration_min,medical_baseline,life_support,schools,hospitals
39.58422,-122.25754,2022,2022-05-20,2022-05-20,LOGAN CREEK 2102,Glenn,LOGAN CREEK 2102,Equipment,FTS,North Valley,28452,532,0,0,0,0
39.58422,-122.25754,2022,2022-05-20,2022-05-20,LOGAN CREEK 2102,Glenn,LOGAN CREEK 2102,Unknown,FTS,North Valley,49021,149,2,1,2,0
35.21197,-120.70549,2022,2022-05-20,2022-05-20,SAN LUIS OBISPO 1107,San Luis Obispo,SAN LUIS OBISPO 1107,Equipment,FTS,Los Padres,46633,83,39,27,0,0
39.35331,-121.08345,2022,2022-05-20,2022-05-20,COLUMBIA HILL 1101,Nevada,COLUMBIA HILL 1101,Vegetation,FTS,Sierra,51964,207,41,36,2,0
39.44525,-121.03971,2022,2022-05-20,2022-05-22,PIKE CITY 1101,Yuba,PIKE CITY 1101,Vegetation,FTS,Sierra,176461,3415,24,17,0,0
38.95332,-121.26022,2022,2022-05-20,2022-05-20,LINCOLN 1104,Placer,LINCOLN 1104,Unknown,FTS,Sierra,104281,368,32,22,0,0
40.18181,-122.1973,2022,2022-05-20,2022-05-20,RAWSON 1103,Tehama,RAWSON 1103,Vegetation,FTS,North Valley,113348,197,56,42,9,0
39.54045,-121.30987,2022,2022-05-20,2022-05-20,KANAKA 1101,Butte,KANAKA 1101,Unknown,FTS,North Valley,156651,477,42,30,0,0
38.96864,-121.01716,2022,2022-05-20,2022-05-20,HALSEY 1102,Placer,HALSEY 1102,Vegetation,FTS,Sierra,205642,229,73,49,7,0
40.50183,-122.53363,2022,2022-05-20,2022-05-20,GIRVAN 1101,Shasta,GIRVAN 1101,Unknown,FTS,North Valley,216130,301,89,61,6,0
39.46517,-122.52039,2022,2022-05-20,2022-05-20,ELK CREEK 1101,Glenn,ELK CREEK 1101,Equipment,FTS,North Valley,169169,418,35,25,3,0
39.94493,-122.36435,2022,2022-05-20,2022-05-20,CORNING 1102,Tehama,CORNING 1102,Unknown,FTS,North Valley,53634,266,11,9,1,0
38.57734,-121.95282,2022,2022-05-20,2022-05-20,PUTAH CREEK 1105,Yolo,PUTAH CREEK 1105,Vegetation,FTS,Sacramento,6760,676,0,0,0,0
34.58507,-120.11968,2022,2022-05-20,2022-05-20,SANTA YNEZ 1102,Santa Barbara,SANTA YNEZ 1102,Unknown,FTS,Los Padres,53064,160,16,7,0,0
39.78405,-121.59739,2022,2022-05-20,2022-05-20,PARADISE 1106,Butte,PARADISE 1106,3rd Party,FTS,North Valley,18180,60,15,11,0,0
38.48806,-122.38568,2022,2022-05-20,2022-05-20,SILVERADO 2102,Napa,SILVERADO 2102,Equipment,FTS,North Bay,43358,496,1,1,0,0
35.50909,-120.71204,2022,2022-05-20,2022-05-21,TEMPLETON 2111,San Luis Obispo,TEMPLETON 2111,Equipment,FTS,Los Padres,177825,675,72,39,4,0
38.35556,-122.48963,2022,2022-05-20,2022-05-20,DUNBAR 1101,Sonoma,DUNBAR 1101,Unknown,FTS,Sonoma,9480,158,92,53,5,0
38.66065,-120.98793,2022,2022-05-20,2022-05-21,SHINGLE SPRINGS 2108,El Dorado,SHINGLE SPRINGS 2108,Unknown,FTS,Sierra,226560,118,167,113,1,0
35.21197,-120.70549,2022,2022-05-21,2022-05-21,SAN LUIS OBISPO 1107,San Luis Obispo,SAN LUIS OBISPO 1107,Equipment,FTS,Los Padres,58408,56,39,27,0,0
38.14103,-120.93242,2022,2022-05-21,2022-05-21,CORRAL 1101,Calaveras,CORRAL 1101,Unknown,FTS,Stockton,118732,307,46,30,0,0
