lat,lon,year,name
38.84607,-121.39582,2020,CPUC ignition 2020-08-25
38.84609,-121.37759,2020,CPUC ignition 2020-08-25
38.83749,-121.39573,2020,CPUC ignition 2020-08-25
38.73894,-121.19356,2020,CPUC ignition 2020-08-25
40.27762,-122.3078,2020,CPUC ignition 2020-08-25
38.56574,-122.57517,2020,CPUC ignition 2020-08-24
36.89455,-121.81521,2020,CPUC ignition 2020-08-23
36.68441,-120.26032,2020,CPUC ignition 2020-08-23
40.60203,-122.24938,2020,CPUC ignition 2020-08-21
38.72218,-120.81006,2020,CPUC ignition 2020-08-21
37.70701,-121.644,2020,CPUC ignition 2020-08-21
40.15358,-122.23802,2020,CPUC ignition 2020-08-20
38.93237,-122.75146,2020,CPUC ignition 2020-08-20
36.23884,-120.30149,2020,CPUC ignition 2020-08-20
39.00463,-122.89411,2020,CPUC ignition 2020-08-20
39.0892,-121.1163,2020,CPUC ignition 2020-08-19
39.13696,-121.01754,2020,CPUC ignition 2020-08-19
38.795,-121.23364,2020,CPUC ignition 2020-08-19
39.4145,-123.78151,2020,CPUC ignition 2020-08-19
38.83617,-120.95145,2020,CPUC ignition 2020-08-19
37.97521,-121.32477,2020,CPUC ignition 2020-08-18
37.5963,-121.63636,2020,CPUC ignition 2020-08-18
39.2125,-121.47876,2020,CPUC ignition 2020-08-18
39.33048,-121.19592,2020,CPUC ignition 2020-08-17
38.81507,-120.87345,2020,CPUC ignition 2020-08-17
37.85659,-122.07293,2020,CPUC ignition 2020-08-17
38.88773,-122.58519,2020,CPUC ignition 2020-08-17
38.92776,-121.35784,2020,CPUC ignition 2020-08-17
37.17338,-122.06282,2020,CPUC ignition 2020-08-16
37.52389,-122.35338,2020,CPUC ignition 2020-08-16
37.24929,-122.03162,2020,CPUC ignition 2020-08-16
37.2542,-121.9144,2020,CPUC ignition 2020-08-16
37.16634,-121.99176,2020,CPUC ignition 2020-08-16
38.42334,-121.95325,2020,CPUC ignition 2020-08-16
37.322,-121.99596,2020,CPUC ignition 2020-08-15
40.1121,-122.1602,2020,CPUC ignition 2020-08-15
38.25958,-122.07529,2020,CPUC ignition 2020-08-15
37.69594,-121.43266,2020,CPUC ignition 2020-08-15
37.41892,-121.91128,2020,CPUC ignition 2020-08-15
39.3721,-121.71144,2020,CPUC ignition 2020-08-15
39.12108,-122.8612,2020,CPUC ignition 2020-08-15
37.98421,-122.07614,2020,CPUC ignition 2020-08-14
37.11748,-121.60382,2020,CPUC ignition 2020-08-14
36.9667,-121.53875,2020,CPUC ignition 2020-08-14
38.33601,-122.72925,2020,CPUC ignition 2020-08-14
38.16484,-121.61397,2020,CPUC ignition 2020-08-13
38.81579,-122.04314,2020,CPUC ignition 2020-08-13
38.85131,-121.37713,2020,CPUC ignition 2020-08-12
34.9687,-119.47233,2020,CPUC ignition 2020-08-12
36.18357,-119.71728,2020,CPUC ignition 2020-08-12
36.72556,-121.26768,2020,CPUC ignition 2020-08-11
39.51042,-121.21998,2020,CPUC ignition 2020-08-11
40.39998,-121.93905,2020,CPUC ignition 2020-08-10
39.11909,-121.06278,2020,CPUC ignition 2020-08-09
37.72335,-122.03707,2020,CPUC ignition 2020-08-09
40.79832,-124.17768,2020,CPUC ignition 2020-08-09
39.10821,-121.62228,2020,CPUC ignition 2020-08-08
36.70672,-120.44085,2020,CPUC ignition 2020-08-07
34.74964,-120.27464,2020,CPUC ignition 2020-08-07
36.83855,-121.37186,2020,CPUC ignition 2020-08-07
36.66356,-119.76152,2020,CPUC ignition 2020-08-06
39.44983,-121.19761,2020,CPUC ignition 2020-08-05
39.82578,-122.06182,2020,CPUC ignition 2020-08-05
38.33232,-120.67122,2020,CPUC ignition 2020-08-05
